ao3id,author,author__ts,chapters,chapters__ts,deleted,deleted__ts,fandom,fandom__ts,rating,rating__ts,title,title__ts,updated,updated__ts,visit,visit__ts,hasupdate,hasupdate__ts,word_count,word_count__ts,summary,summary__ts,crawled,crawled__ts,read,read__ts
38227,Ryuutchi,1514673213.133,"{""published"": ""1"", ""total"": ""1"", ""complete"": true}",1558917816.243,0,1514673213.133,Gentleman Bastard Sequence - Lynch,1514673213.133,5,1514673213.133,Just The Way it Works (a story of sex and not-quite-love in Camorr),1514673213.133,2009-12-24T00:00:00.000Z,1514673213.133,2019-05-27T00:43:35.918Z,1558917816.243,False,1558917816.361,2902,1558917816.243,"If they were planning to get used to being in character no matter what, they were clearly going to have to work harder than that.",1558917816.243,2019-05-27T00:43:36.244Z,1558917816.243,0,1558917816.243
38234,saikogrrl,1546147337.306,"{""complete"": 1, ""published"": ""1"", ""total"": ""1""}",1546147337.306,0,1546147337.306,Gentleman Bastard Sequence - Lynch,1546147337.306,-1,1546147337.306,A Quiet Drink,1546147337.306,2009-12-24T00:00:00.000Z,1546147337.306,2018-12-30T05:22:17.273Z,1546147337.306,,,488,1546147337.306,Locke reminisces over a quiet drink in Jerem.,1546147337.306,2018-12-30T05:22:17.306Z,1546147337.306,0,1546147337.306
38292,Ryuutchi,1546147332.492,"{""complete"": 1, ""published"": ""1"", ""total"": ""1""}",1546147332.492,0,1546147332.492,Gentleman Bastard Sequence - Lynch,1546147332.492,-1,1546147332.492,If That's The Way You're Going To Be (We Probably Still Won't Leave),1546147332.492,2009-12-24T00:00:00.000Z,1546147332.492,2018-12-30T05:22:12.458Z,1546147332.492,,,300,1546147332.492,"Locke, Jean and Sabetha are reunited.  This probably didn't go the way Locke expected it to.",1546147332.492,2018-12-30T05:22:12.492Z,1546147332.492,0,1546147332.492
38653,cjmarlowe,1566095680.922,"{""published"": ""1"", ""total"": ""1"", ""complete"": true}",1566095680.922,False,1566095680.922,Oliver!,1566095680.922,5,1566095680.922,It's a Fine Life,1566095680.922,2009-12-25T00:00:00.000Z,1566095680.922,2019-08-18T02:34:40.877Z,1566095680.922,,,621,1566095680.922,"He calls himself Jack again these days, the Artful Dodger left behind in childhood.",1566095680.922,2019-08-18T02:34:40.923Z,1566095680.922,0,1566095680.922
41991,prodigy,1508112508.042,"{""complete"": 1, ""published"": ""1"", ""total"": ""1""}",1523258613.26,False,1508112508.042,Gentleman Bastard Sequence - Lynch,1508112508.042,5,1508112508.042,Of All the Western Stars,1508112508.042,2007-12-25T00:00:00.000Z,1523171821.568,2018-04-09T07:23:32.584Z,1523258613.26,False,1529367168.977,,,,,2018-04-09T07:23:33.260Z,1523258613.26,0,1523258613.26
51911,Vulgarweed,1512196520.809,"{""complete"": 1, ""published"": ""1"", ""total"": ""1""}",1512196653.924,0,1512196520.809,Discworld - Pratchett,1512196520.809,1,1512196653.924,Army Rations,1512196520.809,2010-01-16T00:00:00.000Z,1512196520.809,2017-12-02T06:37:33.859Z,1512196653.924,0,1512196653.934,,,,,2017-12-02T06:37:33.924Z,1512196653.924,0,1512196653.924
82504,orphan_account,1512196235.2,"{""complete"": 1, ""published"": ""1"", ""total"": ""1""}",1512196235.2,0,1512196235.2,Discworld - Pratchett,1512196235.2,-1,1512196235.2,Girls On Another Night Out,1512196235.2,2008-07-09T00:00:00.000Z,1512196235.2,2017-12-02T06:30:35.110Z,1512196235.2,,,,,,,2017-12-02T06:30:35.201Z,1512196235.2,0,1512196235.2
82524,orphan_account,1512196409.299,"{""complete"": 1, ""published"": ""1"", ""total"": ""1""}",1512196409.299,0,1512196409.299,Discworld - Pratchett,1512196409.299,3,1512196409.299,Some Relief For the Restless,1512196409.299,2008-04-25T00:00:00.000Z,1512196409.299,2017-12-02T06:33:29.209Z,1512196409.299,,,,,,,2017-12-02T06:33:29.299Z,1512196409.299,0,1512196409.299
82527,orphan_account,1512197273.824,"{""complete"": 1, ""published"": ""1"", ""total"": ""1""}",1512197273.824,0,1512197273.824,Discworld - Pratchett,1512197273.824,-1,1512197273.824,"Theology, Mythology and Amateur Gynecology",1512197273.824,2008-04-25T00:00:00.000Z,1512197273.824,2017-12-02T06:47:53.709Z,1512197273.824,,,,,,,2017-12-02T06:47:53.824Z,1512197273.824,0,1512197273.824
89545,busaikko,1508124978.646,"{""published"": ""1"", ""total"": ""1"", ""complete"": true}",1508124978.646,False,1508124978.646,Harry Potter - Rowling,1508124978.646,5,1508124978.646,Our Private Universe,1508124978.646,2005-12-24T00:00:00.000Z,1508124978.646,2017-10-16T03:36:18.631Z,1508124978.646,,,,,,,,,,
95784,OneWhoSitsWithTurtles,1514614337.724,"{""complete"": 1, ""published"": ""1"", ""total"": ""1""}",1514614373.145,0,1514614337.724,Gentleman Bastard Sequence - Lynch,1514614337.724,3,1514614373.145,Forgiveness,1514614337.724,2010-06-20T00:00:00.000Z,1514614337.724,2017-12-30T06:12:53.084Z,1514614373.145,0,1514614373.154,,,,,2017-12-30T06:12:53.145Z,1514614373.145,0,1514614373.145
96446,OneWhoSitsWithTurtles,1514673650.986,"{""complete"": 1, ""published"": ""1"", ""total"": ""1""}",1514673650.986,0,1514673650.986,Gentleman Bastard Sequence - Lynch,1514673650.986,-1,1514673650.986,Fluff on the Fly,1514673650.986,2010-06-23T00:00:00.000Z,1514673650.986,2017-12-30T22:40:50.916Z,1514673650.986,,,,,,,2017-12-30T22:40:50.986Z,1514673650.986,0,1514673650.986
96659,OneWhoSitsWithTurtles,1514612528.2,"{""complete"": 1, ""published"": ""1"", ""total"": ""1""}",1514612534.292,0,1514612528.2,Gentleman Bastard Sequence - Lynch,1514612528.2,1,1514612534.292,Possession,1514612528.2,2010-06-25T00:00:00.000Z,1514612528.2,2017-12-30T05:42:14.218Z,1514612534.292,0,1514612534.301,,,,,2017-12-30T05:42:14.292Z,1514612534.292,0,1514612534.292
103911,Lys ap Adin (lysapadin),1512170313.745,"{""complete"": 1, ""published"": ""1"", ""total"": ""1""}",1512170313.745,0,1512170313.745,Discworld - Terry Pratchett,1512170313.745,3,1512170313.745,Black Ribbon,1512170313.745,2010-07-28T00:00:00.000Z,1512170313.745,2017-12-01T23:18:33.655Z,1512170313.745,,,,,,,2017-12-01T23:18:33.745Z,1512170313.745,0,1512170313.745
112165,loki_scribe,1512317859.205,"{""complete"": 1, ""published"": ""1"", ""total"": ""1""}",1512317859.205,0,1512317859.205,Discworld - Terry Pratchett,1512317859.205,1,1512317859.205,That Whole Army Thing,1512317859.205,2010-09-05T00:00:00.000Z,1512317859.205,2017-12-03T16:17:39.151Z,1512317859.205,,,,,,,2017-12-03T16:17:39.205Z,1512317859.205,0,1512317859.205
119736,kiyala,1546147320.556,"{""complete"": 1, ""published"": ""1"", ""total"": ""1""}",1546147320.556,0,1546147320.556,Gentleman Bastard Sequence - Scott Lynch,1546147320.556,-1,1546147320.556,Dreams Like Poison,1546147320.556,2010-07-27T00:00:00.000Z,1546147320.556,2018-12-30T05:22:00.526Z,1546147320.556,,,782,1546147320.556,Locke and Jean consider the situation they've found themselves in (set after Red Seas Under Red Skies).,1546147320.556,2018-12-30T05:22:00.556Z,1546147320.556,0,1546147320.556
132877,Ren,1546147315.437,"{""complete"": 1, ""published"": ""1"", ""total"": ""1""}",1546147315.437,0,1546147315.437,Gentleman Bastard Sequence - Scott Lynch,1546147315.437,-1,1546147315.437,Just for me,1546147315.437,2010-11-12T00:00:00.000Z,1546147315.437,2018-12-30T05:21:55.403Z,1546147315.437,,,1365,1546147315.437,"Locke has no problems lying to everyone and anyone, but there's someone who can see right through him.",1546147315.437,2018-12-30T05:21:55.437Z,1546147315.437,0,1546147315.437
136773,Ren,1546147306.655,"{""complete"": 1, ""published"": ""1"", ""total"": ""1""}",1546147306.655,0,1546147306.655,Gentleman Bastard Sequence - Scott Lynch,1546147306.655,-1,1546147306.655,Where do we belong,1546147306.655,2010-11-30T00:00:00.000Z,1546147306.655,2018-12-30T05:21:46.620Z,1546147306.655,,,252,1546147306.655,Sometimes Jean thought about running away.,1546147306.655,2018-12-30T05:21:46.655Z,1546147306.655,0,1546147306.655
151860,Huggeroftrees,1512396143.153,"{""complete"": 1, ""published"": ""2"", ""total"": ""2""}",1512396144.082,0,1512396143.153,Discworld - Terry Pratchett,1512396143.153,1,1512396144.082,Dulce et Decorum Est,1512396143.153,2008-09-16T00:00:00.000Z,1512396143.153,2017-12-04T14:02:24.032Z,1512396144.082,0,1512396144.091,,,,,2017-12-04T14:02:24.082Z,1512396144.082,0,1512396144.082
156513,threewalls,1512196082.302,"{""complete"": 1, ""published"": ""1"", ""total"": ""1""}",1512196082.302,0,1512196082.302,Discworld - Terry Pratchett,1512196082.302,5,1512196082.302,Soap,1512196082.302,2009-03-18T00:00:00.000Z,1512196082.302,2017-12-02T06:27:58.341Z,1512196082.302,,,,,,,2017-12-02T06:28:02.302Z,1512196082.302,0,1512196082.302
220080,imaginary_golux,1512196909.596,"{""complete"": 1, ""published"": ""1"", ""total"": ""1""}",1512196909.596,0,1512196909.596,Discworld - Terry Pratchett,1512196909.596,1,1512196909.596,Pouncing,1512196909.596,2011-07-06T00:00:00.000Z,1512196909.596,2017-12-02T06:41:49.487Z,1512196909.596,,,,,,,2017-12-02T06:41:49.596Z,1512196909.596,0,1512196909.596
221361,imaginary_golux,1512196646.231,"{""complete"": 1, ""published"": ""1"", ""total"": ""1""}",1536809383.818721,0,1512196646.231,Discworld - Terry Pratchett,1512196646.231,3,1512196646.231,Taste Test.,1512196646.231,2011-07-09T00:00:00.000Z,1512196646.231,2017-12-02T06:37:26.133Z,1512196646.231,,,563,1536809383.818721,Sequel to Pouncing; Maladicta and Polly get used to each other.  Written for Porn Battle X.,1536809383.818721,2017-12-02T06:37:26.231Z,1512196646.231,0,1512196646.231
232981,Gwir-Weld y Galon (Gwir_Weld_y_Galon),1546147299.934,"{""complete"": 1, ""published"": ""1"", ""total"": ""1""}",1546147299.934,0,1546147299.934,"Buffy the Vampire Slayer, Warehouse 13, Stargate: Atlantis, Supernatural, The Lies of Locke Lamora, Angel - Fandom, Percy Jackson and the Olympians",1546147299.934,-1,1546147299.934,The Phoenix Academy,1546147299.934,2011-08-01T00:00:00.000Z,1546147299.934,2018-12-30T05:21:39.897Z,1546147299.934,,,6401,1546147299.934,"Meet Squad Three, Spike's squad of Slayers. It's gonna be a bumpy ride, so hold on tight!",1546147299.934,2018-12-30T05:21:39.934Z,1546147299.934,0,1546147299.934
234521,Gwir-Weld y Galon (Gwir_Weld_y_Galon),1546147294.481,"{""complete"": 0, ""published"": ""1"", ""total"": ""?""}",1546147294.481,0,1546147294.481,"Torchwood, Buffy the Vampire Slayer, Warehouse 13, Angel : Fandom, The Lies of Locke Lamora, Stargate: Atlantis, Supernatural",1546147294.481,-1,1546147294.481,Cardiff Nightlife,1546147294.481,2011-08-05T00:00:00.000Z,1546147294.481,2018-12-30T05:21:34.437Z,1546147294.481,,,3312,1546147294.481,Spike and Squad Three are in Cardiff. So is Torchwood. Fun for the whole family!,1546147294.481,2018-12-30T05:21:34.482Z,1546147294.481,0,1546147294.481
252555,Huggeroftrees,1512396004.914,"{""complete"": 1, ""published"": ""2"", ""total"": ""2""}",1512396004.914,0,1512396004.914,"Discworld - Terry Pratchett, Being Human",1512396004.914,-1,1512396004.914,Inter-Universe-Travel Incorporated,1512396004.914,2011-09-12T00:00:00.000Z,1512396004.914,2017-12-04T14:00:04.801Z,1512396004.914,,,,,,,2017-12-04T14:00:04.914Z,1512396004.914,0,1512396004.914
253146,Huggeroftrees,1512395444.079,"{""complete"": 0, ""published"": ""1"", ""total"": ""2""}",1512395444.079,0,1512395444.079,"Discworld - Terry Pratchett, Torchwood, Doctor Who",1512395444.079,-1,1512395444.079,Inter-Universe Travel Incorporated III (Torchwood and Doctor Who),1512395444.079,2011-09-14T00:00:00.000Z,1512395444.079,2017-12-04T13:50:44.031Z,1512395444.079,,,,,,,2017-12-04T13:50:44.079Z,1512395444.079,0,1512395444.079
299885,Laura,1546180958.984,"{""complete"": 1, ""published"": ""1"", ""total"": ""1""}",1546180958.984,0,1546180958.984,Gentleman Bastard Sequence - Scott Lynch,1546180958.984,1,1546180958.984,The Best Laid Plans,1546180958.984,2011-12-22T00:00:00.000Z,1546180958.984,2018-12-30T14:42:38.904Z,1546180958.984,,,4048,1546180958.984,"""Your genius plans are becoming reprehensibly mundane of late.""",1546180958.984,2018-12-30T14:42:38.984Z,1546180958.984,0,1546180958.984
308760,Huggeroftrees,1512396834.977,"{""complete"": 1, ""published"": ""1"", ""total"": ""1""}",1512396834.977,0,1512396834.977,Discworld - Terry Pratchett,1512396834.977,1,1512396834.977,It's The Thought That Counts,1512396834.977,2011-12-31T00:00:00.000Z,1512396834.977,2017-12-04T14:13:54.937Z,1512396834.977,,,,,,,2017-12-04T14:13:54.977Z,1512396834.977,0,1512396834.977
333905,"havisham, rio_abajo_rio, pumpkinpodfic (thegreatpumpkin)",1574905087.436,"{""published"": ""1"", ""total"": ""1"", ""complete"": true}",1574905230.452,False,1574905087.436,The Silmarillion and other histories of Middle-Earth - J. R. R. Tolkien,1574905087.436,5,1574905087.436,All Goes Onward and Outward,1574905087.436,2012-02-06T00:00:00.000Z,1574905087.436,2019-11-28T01:40:30.180Z,1574905230.452,False,1574905230.471,4378,1574905087.436,"To die is different from what anyone supposed, and luckier. Fingon and Maedhros, in a different war.",1574905087.436,2019-11-28T01:40:30.452Z,1574905230.452,0,1574905230.452
390722,ImpossibleCherryBlossom,1512287849.794,"{""complete"": 1, ""published"": ""1"", ""total"": ""1""}",1512287849.794,0,1512287849.794,"PRATCHETT Terry - Works, Monstrous Regiment--Pratchett, Discworld - Terry Pratchett",1512287849.794,-1,1512287849.794,Breathe,1512287849.794,2012-04-24T00:00:00.000Z,1512287849.794,2017-12-03T07:57:29.753Z,1512287849.794,,,,,,,2017-12-03T07:57:29.794Z,1512287849.794,0,1512287849.794
396005,hiza-chan (callunavulgari),1546147258.205,"{""complete"": 1, ""published"": ""1"", ""total"": ""1""}",1546147258.205,0,1546147258.205,"A Song of Ice and Fire - George R. R. Martin, Supernatural, Inception (2010), Social Network (2010), Kingdom Hearts, Legend of Zelda: The Ocarina of Time, Doctor Who, Firefly, The Lies of Locke Lamora",1546147258.205,-1,1546147258.205,The Reality of God,1546147258.205,2012-05-02T00:00:00.000Z,1546147258.205,2018-12-30T05:20:58.178Z,1546147258.205,,,536,1546147258.205,A collection of crossover drabbles from various fandoms.,1546147258.205,2018-12-30T05:20:58.205Z,1546147258.205,0,1546147258.205
408515,weesaw,1546147253.011,"{""complete"": 1, ""published"": ""1"", ""total"": ""1""}",1546147253.011,0,1546147253.011,Gentleman Bastard Sequence - Scott Lynch,1546147253.011,-1,1546147253.011,If you follow me up.,1546147253.011,2012-05-19T00:00:00.000Z,1546147253.011,2018-12-30T05:20:52.970Z,1546147253.011,,,394,1546147253.011,"A bit about growing up in the burrow and the aftermath of Lies. (Set during Red Seas Under Red Skies.) Inspired by ""Ivory Road"" by King Charles (see notes for a link).",1546147253.011,2018-12-30T05:20:53.011Z,1546147253.011,0,1546147253.011
536676,Smaragdina,1508850022.603,"{""complete"": 1, ""published"": ""1"", ""total"": ""1""}",1508850022.603,0,1508850022.603,Dishonored,1508850022.603,1,1508850022.603,The Things They Want,1508850022.603,2012-10-14T00:00:00.000Z,1508850022.603,2017-10-24T13:00:22.474Z,1508850022.603,,,,,,,2017-10-24T13:00:22.605Z,1508850022.603,0,1508850022.603
545025,Smaragdina,1508852529.22,"{""complete"": 1, ""published"": ""1"", ""total"": ""1""}",1508852529.22,0,1508852529.22,Dishonored (Video Game),1508852529.22,1,1508852529.22,Eyes I Dare Not Meet In Dreams,1508852529.22,2012-10-24T00:00:00.000Z,1508852529.22,2017-10-24T13:42:09.110Z,1508852529.22,,,,,,,2017-10-24T13:42:09.220Z,1508852529.22,0,1508852529.22
549252,NanakiBH,1529228253.737,"{""complete"": 1, ""published"": ""1"", ""total"": ""1""}",1536861530.112397,0,1529228253.737,JoJo no Kimyouna Bouken | JoJo's Bizarre Adventure,1529228253.737,3,1529228253.737,"Sit, Stay",1529228253.737,2012-10-29T00:00:00.000Z,1529228253.737,2018-06-17T09:37:33.707Z,1529228253.737,,,6798,1536861530.112397,"Before long, Rohan was going to have an entire sketchbook full of Josuke in erotic positions.",1536861530.112397,2018-06-17T09:37:33.737Z,1529228253.737,0,1529228253.737
549745,patho (ghostsoldier),1508852807.024,"{""complete"": 1, ""published"": ""1"", ""total"": ""1""}",1508852807.024,0,1508852807.024,Dishonored (Video Game),1508852807.024,-1,1508852807.024,a small soft death,1508852807.024,2012-10-30T00:00:00.000Z,1508852807.024,2017-10-24T13:46:46.962Z,1508852807.024,,,,,,,2017-10-24T13:46:47.024Z,1508852807.024,0,1508852807.024
550440,NanakiBH,1530710995.79,"{""complete"": 1, ""published"": ""1"", ""total"": ""1""}",1530710995.79,0,1530710995.79,JoJo no Kimyouna Bouken | JoJo's Bizarre Adventure,1530710995.79,-1,1530710995.79,Begging For Treats,1530710995.79,2012-10-30T00:00:00.000Z,1530710995.79,2018-07-04T13:29:55.740Z,1530710995.79,,,,,,,2018-07-04T13:29:55.790Z,1530710995.79,0,1530710995.79
553143,misslonelyhearts,1563336718.986,"{""published"": ""1"", ""total"": ""1"", ""complete"": true}",1563336718.986,False,1563336718.986,Dishonored (Video Game),1563336718.986,1,1563336718.986,The Brand,1563336718.986,2012-11-03T00:00:00.000Z,1563336718.986,2019-07-17T04:11:58.922Z,1563336718.986,,,549,1563336718.986,,1563336718.986,2019-07-17T04:11:58.986Z,1563336718.986,0,1563336718.986
553146,misslonelyhearts,1563361625.839,"{""published"": ""1"", ""total"": ""1"", ""complete"": true}",1563361625.839,False,1563361625.839,Dishonored (Video Game),1563361625.839,1,1563361625.839,The Taste,1563361625.839,2012-11-03T00:00:00.000Z,1563361625.839,2019-07-17T11:07:05.733Z,1563361625.839,,,821,1563361625.839,,1563361625.839,2019-07-17T11:07:05.841Z,1563361625.839,0,1563361625.839
561992,Snake (Fatality145),1510283825.456,"{""complete"": 1, ""published"": ""1"", ""total"": ""1""}",1510283825.456,0,1510283825.456,Dishonored (Video Game),1510283825.456,-1,1510283825.456,Aerials,1510283825.456,2012-11-13T00:00:00.000Z,1510283825.456,2017-11-10T03:17:05.379Z,1510283825.456,,,,,,,2017-11-10T03:17:05.457Z,1510283825.456,0,1510283825.456
563505,Snake (Fatality145),1510284068.117,"{""complete"": 1, ""published"": ""1"", ""total"": ""1""}",1510284068.117,0,1510284068.117,Dishonored (Video Game),1510284068.117,-1,1510284068.117,Basorexia,1510284068.117,2012-11-15T00:00:00.000Z,1510284068.117,2017-11-10T03:21:08.026Z,1510284068.117,,,,,,,2017-11-10T03:21:08.117Z,1510284068.117,0,1510284068.117
567817,"Requiem, Herber_baby17",1510284037.22,"{""complete"": 1, ""published"": ""1"", ""total"": ""1""}",1510284037.22,0,1510284037.22,Dishonored (Video Game),1510284037.22,-1,1510284037.22,"Once More, With Feeling",1510284037.22,2012-11-19T00:00:00.000Z,1510284037.22,2017-11-10T03:20:37.125Z,1510284037.22,,,,,,,2017-11-10T03:20:37.220Z,1510284037.22,0,1510284037.22
575140,"patho (ghostsoldier), Easy_Owl, Kess",1558919409.543,"{""published"": ""1"", ""total"": ""1"", ""complete"": true}",1559963762.487,False,1508111317.184,Dishonored (Video Game),1508111317.184,5,1508111317.184,in the bone,1508111317.184,2012-11-27T00:00:00.000Z,1508111317.184,2019-06-08T03:16:02.335Z,1559963762.487,False,1559963762.585,2812,1536832049.210042,It all began when Corvo started kissing the Mark for luck.,1536832049.210042,2019-06-08T03:16:02.487Z,1559963762.487,0,1559963762.487
585894,Snake (Fatality145),1510283986.698,"{""complete"": 1, ""published"": ""1"", ""total"": ""1""}",1510283986.698,0,1510283986.698,Dishonored (Video Game),1510283986.698,-1,1510283986.698,Breeding Thorns,1510283986.698,2012-12-07T00:00:00.000Z,1510283986.698,2017-11-10T03:19:46.567Z,1510283986.698,,,,,,,2017-11-10T03:19:46.698Z,1510283986.698,0,1510283986.698
589247,patho (ghostsoldier),1508391319.791,"{""published"": ""1"", ""total"": ""1"", ""complete"": true}",1508391319.791,False,1508391319.791,Dishonored (Video Game),1508391319.791,-1,1508391319.791,tetralogy of fallot,1508391319.791,2012-12-10T00:00:00.000Z,1508391319.791,2017-10-19T05:35:19.752Z,1508391319.791,,,,,,,2017-10-19T05:35:19.791Z,1508391319.791,0,1508391319.791
592330,iphis17,1512395438.673,"{""complete"": 1, ""published"": ""1"", ""total"": ""1""}",1512395438.673,0,1512395438.673,Discworld - Terry Pratchett,1512395438.673,-1,1512395438.673,Corsetry,1512395438.673,2010-11-07T00:00:00.000Z,1512395438.673,2017-12-04T13:50:38.596Z,1512395438.673,,,,,,,2017-12-04T13:50:38.673Z,1512395438.673,0,1512395438.673
592950,Hinata_Yamimoto,1548553340.246,"{""complete"": 1, ""published"": ""1"", ""total"": ""1""}",1548553340.246,0,1548553340.246,Original Work,1548553340.246,1,1548553340.246,Professor Worthington and the Search for the One-Eyed Trouser Snake,1548553340.246,2012-12-14T00:00:00.000Z,1548553340.246,2019-01-27T01:42:20.205Z,1548553340.246,,,7804,1548553340.246,I was balls-deep in secondhand embarrassment from the start of the safari.,1548553340.246,2019-01-27T01:42:20.246Z,1548553340.246,0,1548553340.246
593833,orphan_account,1561641919.708,"{""published"": ""1"", ""total"": ""1"", ""complete"": true}",1561641919.708,False,1561641919.708,Dishonored (Video Game),1561641919.708,1,1561641919.708,Caustic Are The Ties That Bind,1561641919.708,2012-12-15T00:00:00.000Z,1561641919.708,2019-06-27T13:25:19.616Z,1561641919.708,,,4365,1561641919.708,"(Post Low-Chaos Ending)
    
  
 'His breath halted in his throat, watching the flame flicker before snuffing itself. The windows were closed and the air was still, stagnant, almost, though with that sickeningly sweet aroma which permeated through the personal quarters of Dunwall Tower.                   Frozen static from confusion, his eyes slowly adjusting to the new darkness, the pulsing in his ears changed, now outer body, now something else. He forced himself to swallow thickly, listening to the thrum that was almost like a grind, and he knew it too well.                 “I don’t like to be ignored, Corvo,”'",1561641919.708,2019-06-27T13:25:19.708Z,1561641919.708,0,1561641919.708
599121,Lamprey,1563362026.624,"{""published"": ""1"", ""total"": ""1"", ""complete"": true}",1563362026.624,False,1563362026.624,Dishonored (Video Game),1563362026.624,-1,1563362026.624,Marked,1563362026.624,2012-12-19T00:00:00.000Z,1563362026.624,2019-07-17T11:13:46.489Z,1563362026.624,,,1215,1563362026.624,How the Outsider keeps Corvo's visits to the Void interesting.,1563362026.624,2019-07-17T11:13:46.627Z,1563362026.624,0,1563362026.624
601604,corialis,1508124950.457,"{""published"": ""1"", ""total"": ""1"", ""complete"": true}",1508124950.457,False,1508124950.457,Gentleman Bastard Sequence - Scott Lynch,1508124950.457,5,1508124950.457,Always Sufficient,1508124950.457,2012-12-20T00:00:00.000Z,1508124950.457,2017-10-16T03:35:50.439Z,1508124950.457,,,,,,,,,,
632761,FairyNiamh,1548243479.164,"{""complete"": 1, ""published"": ""1"", ""total"": ""1""}",1548288466.775,0,1548243479.164,Original Work,1548243479.164,-1,1548243483.797,Desert Snow,1548243479.164,2010-01-10T00:00:00.000Z,1548243479.164,2019-01-24T00:07:46.480Z,1548288466.775,0,1548288467.057,5398,1548243479.164,A Snake Priest and a street rat fall in love after a most unusual meeting.,1548243479.164,2019-01-24T00:07:46.775Z,1548288466.775,1,1548243482.139
634990,niawen,1563768525.443,"{""published"": ""1"", ""total"": ""1"", ""complete"": true}",1563768525.443,False,1563768525.443,Dishonored (Video Game),1563768525.443,-1,1563768525.443,Blind and Posess,1563768525.443,2013-01-12T00:00:00.000Z,1563768525.443,2019-07-22T04:08:45.372Z,1563768525.443,,,7361,1563768525.443,"The Outsider's offered to help Corvo track down the men who killed Jessamine, but he's doing it on his own terms and in his own way.  In which Corvo is soundly abused.",1563768525.443,2019-07-22T04:08:45.443Z,1563768525.443,0,1563768525.443
638823,"patho (ghostsoldier), Herber_baby17, Kess",1510284141.213,"{""complete"": 1, ""published"": ""1"", ""total"": ""1""}",1510284141.213,0,1510284141.213,Dishonored (Video Game),1510284141.213,-1,1510284141.213,we insist,1510284141.213,2013-01-14T00:00:00.000Z,1510284141.213,2017-11-10T03:22:21.117Z,1510284141.213,,,,,,,2017-11-10T03:22:21.213Z,1510284141.213,0,1510284141.213
641767,Smaragdina,1510284179.394,"{""complete"": 1, ""published"": ""1"", ""total"": ""1""}",1510284179.394,0,1510284179.394,Dishonored (Video Game),1510284179.394,-1,1510284179.394,Behaving As The Wind Behaves,1510284179.394,2013-01-16T00:00:00.000Z,1510284179.394,2017-11-10T03:22:59.266Z,1510284179.394,,,,,,,2017-11-10T03:22:59.394Z,1510284179.394,0,1510284179.394
648587,supaslim,1510284537.414,"{""complete"": 1, ""published"": ""1"", ""total"": ""1""}",1510284537.414,0,1510284537.414,Dishonored (Video Game),1510284537.414,-1,1510284537.414,Undisclosed Desires,1510284537.414,2013-01-21T00:00:00.000Z,1510284537.414,2017-11-10T03:28:57.319Z,1510284537.414,,,,,,,2017-11-10T03:28:57.414Z,1510284537.414,0,1510284537.414
