ao3id,author,author__ts,fandom,fandom__ts,category,category__ts,relationship,relationship__ts,title,title__ts,crawled,crawled__ts,updated,updated__ts,chapters,chapters__ts,summary,summary__ts,word_count,word_count__ts,rating,rating__ts,read,read__ts,chapter,visit,visit__ts,deleted,deleted__ts
36734,marshalmeg,1751389030.856,RPF - 18th-19th c Arts and Sciences,1751389030.856,...,1751389030.856,...,1751389030.856,Clark Will Be Coming,1751389030.856,2025-07-01T16:57:10.856Z,1751389030.856,2009-12-23T00:00:00.000Z,1751389030.856,1|1|1,1751389030.856,"After the expedition, could there be another factor contributing to Lewis' depression?",1751389030.856,877,1751389030.856,3,1751389030.856,0,1751389030.856,1751389030.856,2025-06-17T22:16:22.368Z,1751389030.856,false,1751389030.856
37101,treewishes,1751389030.866,RPF 18th-19th c Arts and Sciences,1751389030.866,...,1751389030.866,...,1751389030.866,Doubt Truth To Be A Liar,1751389030.866,2025-07-01T16:57:10.866Z,1751389030.866,2009-12-23T00:00:00.000Z,1751389030.866,1|1|1,1751389030.866,"Three times I have said yes to Meriwether Lewis, and one time I said no.  I regret each of them equally.",1751389030.866,1298,1751389030.866,3,1751389030.866,0,1751389030.866,1751389030.866,2025-07-01T17:04:50.961Z,1751389030.866,false,1751389030.866
38227,Ryuutchi,1751389030.869,Gentleman Bastard Sequence - Lynch,1751389030.869,...,1751389030.869,...,1751389030.869,Just The Way it Works (a story of sex and not-quite-love in Camorr),1751389030.869,2025-07-01T16:57:10.869Z,1751389030.869,2009-12-24T00:00:00.000Z,1751389030.869,1|1|1,1751389030.869,"If they were planning to get used to being in character no matter what, they were clearly going to have to work harder than that.",1751389030.869,2902,1751389030.869,5,1751389030.869,0,1751389030.869,1751389030.869,2019-05-27T00:43:35.918Z,1751389030.869,false,1751389030.869
38234,saikogrrl,1751389030.872,Gentleman Bastard Sequence - Lynch,1751389030.872,...,1751389030.872,...,1751389030.872,A Quiet Drink,1751389030.872,2025-07-01T16:57:10.872Z,1751389030.872,2009-12-24T00:00:00.000Z,1751389030.872,1|1|1,1751389030.872,Locke reminisces over a quiet drink in Jerem.,1751389030.872,488,1751389030.872,-1,1751389030.872,0,1751389030.872,1751389030.872,2018-12-30T05:22:17.273Z,1751389030.872,false,1751389030.872
38292,Ryuutchi,1751389030.874,Gentleman Bastard Sequence - Lynch,1751389030.874,...,1751389030.874,...,1751389030.874,If That's The Way You're Going To Be (We Probably Still Won't Leave),1751389030.874,2025-07-01T16:57:10.874Z,1751389030.874,2009-12-24T00:00:00.000Z,1751389030.874,1|1|1,1751389030.874,"Locke, Jean and Sabetha are reunited.  This probably didn't go the way Locke expected it to.",1751389030.874,300,1751389030.874,-1,1751389030.874,0,1751389030.874,1751389030.874,2018-12-30T05:22:12.458Z,1751389030.874,false,1751389030.874
38653,cjmarlowe,1751389030.876,Oliver!,1751389030.876,...,1751389030.876,...,1751389030.876,It's a Fine Life,1751389030.876,2025-07-01T16:57:10.876Z,1751389030.876,2009-12-25T00:00:00.000Z,1751389030.876,1|1|1,1751389030.876,"He calls himself Jack again these days, the Artful Dodger left behind in childhood.",1751389030.876,621,1751389030.876,5,1751389030.876,0,1751389030.876,1751389030.876,2019-08-18T02:34:40.877Z,1751389030.876,false,1751389030.876
41991,prodigy,1751389030.879,Gentleman Bastard Sequence - Lynch,1751389030.879,...,1751389030.879,...,1751389030.879,Of All the Western Stars,1751389030.879,2025-07-01T16:57:10.879Z,1751389030.879,2007-12-25T00:00:00.000Z,1751389030.879,1|1|1,1751389030.879,...,1751389030.879,?,1751389030.879,5,1751389030.879,0,1751389030.879,1751389030.879,2018-04-09T07:23:32.584Z,1751389030.879,false,1751389030.879
51911,Vulgarweed,1751389030.881,Discworld - Pratchett,1751389030.881,...,1751389030.881,...,1751389030.881,Army Rations,1751389030.881,2025-07-01T16:57:10.881Z,1751389030.881,2010-01-16T00:00:00.000Z,1751389030.881,1|1|1,1751389030.881,...,1751389030.881,?,1751389030.881,1,1751389030.881,0,1751389030.881,1751389030.881,2017-12-02T06:37:33.859Z,1751389030.881,false,1751389030.881
72733,busaikko,1751409834.522,Harry Potter - Rowling,1751409834.522,M/M,1751409834.522,Sirius Black/Remus Lupin,1751409834.522,The Maddest House,1751409834.522,2025-07-01T22:43:54.524Z,1751409834.522,2005-11-27T05:00:00.000Z,1751409834.522,"<a href=""|works|false",1751409834.522,"After the events of Halloween 1981, Sirius Black finds himself raising Harry, with the assistance of Remus, in a world where Voldemort never disappears for 11 years.",1751409834.522,42687,1751409834.522,5,1751409834.522,1,1751409834.522,1751409834.522,2025-07-01T22:44:28.098Z,1751409834.522,false,1751409834.522
82504,orphan_account,1751389030.882,Discworld - Pratchett,1751389030.882,...,1751389030.882,...,1751389030.882,Girls On Another Night Out,1751389030.882,2025-07-01T16:57:10.882Z,1751389030.882,2008-07-09T00:00:00.000Z,1751389030.882,1|1|1,1751389030.882,...,1751389030.882,?,1751389030.882,-1,1751389030.882,0,1751389030.882,1751389030.882,2017-12-02T06:30:35.110Z,1751389030.882,false,1751389030.882
82524,orphan_account,1751389030.885,Discworld - Pratchett,1751389030.885,...,1751389030.885,...,1751389030.885,Some Relief For the Restless,1751389030.885,2025-07-01T16:57:10.885Z,1751389030.885,2008-04-25T00:00:00.000Z,1751389030.885,1|1|1,1751389030.885,...,1751389030.885,?,1751389030.885,3,1751389030.885,0,1751389030.885,1751389030.885,2017-12-02T06:33:29.209Z,1751389030.885,false,1751389030.885
82527,orphan_account,1751389030.889,Discworld - Pratchett,1751389030.889,...,1751389030.889,...,1751389030.889,"Theology, Mythology and Amateur Gynecology",1751389030.889,2025-07-01T16:57:10.889Z,1751389030.889,2008-04-25T00:00:00.000Z,1751389030.889,1|1|1,1751389030.889,...,1751389030.889,?,1751389030.889,-1,1751389030.889,0,1751389030.889,1751389030.889,2017-12-02T06:47:53.709Z,1751389030.889,false,1751389030.889
89545,busaikko,1751389030.891,Harry Potter - Rowling,1751389030.891,...,1751389030.891,...,1751389030.891,Our Private Universe,1751389030.891,2025-07-01T16:57:10.891Z,1751389030.891,2005-12-24T00:00:00.000Z,1751389030.891,1|1|1,1751389030.891,...,1751389030.891,?,1751389030.891,5,1751389030.891,0,1751389030.891,1751389030.891,2017-10-16T03:36:18.631Z,1751389030.891,false,1751389030.891
95784,OneWhoSitsWithTurtles,1751389030.892,Gentleman Bastard Sequence - Lynch,1751389030.892,...,1751389030.892,...,1751389030.892,Forgiveness,1751389030.892,2025-07-01T16:57:10.892Z,1751389030.892,2010-06-20T00:00:00.000Z,1751389030.892,1|1|1,1751389030.892,...,1751389030.892,?,1751389030.892,3,1751389030.892,0,1751389030.892,1751389030.892,2017-12-30T06:12:53.084Z,1751389030.892,false,1751389030.892
96446,OneWhoSitsWithTurtles,1751389030.896,Gentleman Bastard Sequence - Lynch,1751389030.896,...,1751389030.896,...,1751389030.896,Fluff on the Fly,1751389030.896,2025-07-01T16:57:10.896Z,1751389030.896,2010-06-23T00:00:00.000Z,1751389030.896,1|1|1,1751389030.896,...,1751389030.896,?,1751389030.896,-1,1751389030.896,0,1751389030.896,1751389030.896,2017-12-30T22:40:50.916Z,1751389030.896,false,1751389030.896
96659,OneWhoSitsWithTurtles,1751389030.898,Gentleman Bastard Sequence - Lynch,1751389030.898,...,1751389030.898,...,1751389030.898,Possession,1751389030.898,2025-07-01T16:57:10.898Z,1751389030.898,2010-06-25T00:00:00.000Z,1751389030.898,1|1|1,1751389030.898,...,1751389030.898,?,1751389030.898,1,1751389030.898,0,1751389030.898,1751389030.898,2017-12-30T05:42:14.218Z,1751389030.898,false,1751389030.898
103911,Lys ap Adin (lysapadin),1751389030.9,Discworld - Terry Pratchett,1751389030.9,...,1751389030.9,...,1751389030.9,Black Ribbon,1751389030.9,2025-07-01T16:57:10.900Z,1751389030.9,2010-07-28T00:00:00.000Z,1751389030.9,1|1|1,1751389030.9,...,1751389030.9,?,1751389030.9,3,1751389030.9,0,1751389030.9,1751389030.9,2017-12-01T23:18:33.655Z,1751389030.9,false,1751389030.9
112165,loki_scribe,1751389030.904,Discworld - Terry Pratchett,1751389030.904,...,1751389030.904,...,1751389030.904,That Whole Army Thing,1751389030.904,2025-07-01T16:57:10.904Z,1751389030.904,2010-09-05T00:00:00.000Z,1751389030.904,1|1|1,1751389030.904,...,1751389030.904,?,1751389030.904,1,1751389030.904,0,1751389030.904,1751389030.904,2017-12-03T16:17:39.151Z,1751389030.904,false,1751389030.904
119736,kiyala,1751389030.907,Gentleman Bastard Sequence - Scott Lynch,1751389030.907,...,1751389030.907,...,1751389030.907,Dreams Like Poison,1751389030.907,2025-07-01T16:57:10.907Z,1751389030.907,2010-07-27T00:00:00.000Z,1751389030.907,1|1|1,1751389030.907,Locke and Jean consider the situation they've found themselves in (set after Red Seas Under Red Skies).,1751389030.907,782,1751389030.907,-1,1751389030.907,0,1751389030.907,1751389030.907,2018-12-30T05:22:00.526Z,1751389030.907,false,1751389030.907
132877,Ren,1751389030.909,Gentleman Bastard Sequence - Scott Lynch,1751389030.909,...,1751389030.909,...,1751389030.909,Just for me,1751389030.909,2025-07-01T16:57:10.909Z,1751389030.909,2010-11-12T00:00:00.000Z,1751389030.909,1|1|1,1751389030.909,"Locke has no problems lying to everyone and anyone, but there's someone who can see right through him.",1751389030.909,1365,1751389030.909,-1,1751389030.909,0,1751389030.909,1751389030.909,2018-12-30T05:21:55.403Z,1751389030.909,false,1751389030.909
136773,Ren,1751389030.913,Gentleman Bastard Sequence - Scott Lynch,1751389030.913,...,1751389030.913,...,1751389030.913,Where do we belong,1751389030.913,2025-07-01T16:57:10.913Z,1751389030.913,2010-11-30T00:00:00.000Z,1751389030.913,1|1|1,1751389030.913,Sometimes Jean thought about running away.,1751389030.913,252,1751389030.913,-1,1751389030.913,0,1751389030.913,1751389030.913,2018-12-30T05:21:46.620Z,1751389030.913,false,1751389030.913
151860,Huggeroftrees,1751389030.917,Discworld - Terry Pratchett,1751389030.917,...,1751389030.917,...,1751389030.917,Dulce et Decorum Est,1751389030.917,2025-07-01T16:57:10.917Z,1751389030.917,2008-09-16T00:00:00.000Z,1751389030.917,2|2|1,1751389030.917,...,1751389030.917,?,1751389030.917,1,1751389030.917,0,1751389030.917,1751389030.917,2017-12-04T14:02:24.032Z,1751389030.917,false,1751389030.917
156513,threewalls,1751389030.919,Discworld - Terry Pratchett,1751389030.919,...,1751389030.919,...,1751389030.919,Soap,1751389030.919,2025-07-01T16:57:10.919Z,1751389030.919,2009-03-18T00:00:00.000Z,1751389030.919,1|1|1,1751389030.919,...,1751389030.919,?,1751389030.919,5,1751389030.919,0,1751389030.919,1751389030.919,2017-12-02T06:27:58.341Z,1751389030.919,false,1751389030.919
165003,Thistlerose,1751409837.866,Harry Potter - J. K. Rowling,1751409837.866,M/M,1751409837.866,Sirius Black/Remus Lupin,1751409837.866,"It's Not the Years, Honey, It's the Mileage",1751409837.866,2025-07-01T22:43:57.866Z,1751409837.866,2011-02-22T05:00:00.000Z,1751409837.866,1|1|true,1751409837.866,Sirius visits Remus on his thirty-fifth birthday. Things are a bit awkward at first.,1751409837.866,4577,1751409837.866,3,1751409837.866,1,1751409837.866,1751409837.866,2025-07-01T22:44:01.469Z,1751409837.866,false,1751409837.866
220080,imaginary_golux,1751389030.923,Discworld - Terry Pratchett,1751389030.923,...,1751389030.923,...,1751389030.923,Pouncing,1751389030.923,2025-07-01T16:57:10.923Z,1751389030.923,2011-07-06T00:00:00.000Z,1751389030.923,1|1|1,1751389030.923,...,1751389030.923,?,1751389030.923,1,1751389030.923,0,1751389030.923,1751389030.923,2017-12-02T06:41:49.487Z,1751389030.923,false,1751389030.923
221361,imaginary_golux,1751389030.926,Discworld - Terry Pratchett,1751389030.926,...,1751389030.926,...,1751389030.926,Taste Test.,1751389030.926,2025-07-01T16:57:10.926Z,1751389030.926,2011-07-09T00:00:00.000Z,1751389030.926,1|1|1,1751389030.926,Sequel to Pouncing; Maladicta and Polly get used to each other.  Written for Porn Battle X.,1751389030.926,563,1751389030.926,3,1751389030.926,0,1751389030.926,1751389030.926,2017-12-02T06:37:26.133Z,1751389030.926,false,1751389030.926
232981,Gwir-Weld y Galon (Gwir_Weld_y_Galon),1751389030.93,"Buffy the Vampire Slayer, Warehouse 13, Stargate: Atlantis, Supernatural, The Lies of Locke Lamora, Angel - Fandom, Percy Jackson and the Olympians",1751389030.93,...,1751389030.93,...,1751389030.93,The Phoenix Academy,1751389030.93,2025-07-01T16:57:10.930Z,1751389030.93,2011-08-01T00:00:00.000Z,1751389030.93,1|1|1,1751389030.93,"Meet Squad Three, Spike's squad of Slayers. It's gonna be a bumpy ride, so hold on tight!",1751389030.93,6401,1751389030.93,-1,1751389030.93,0,1751389030.93,1751389030.93,2018-12-30T05:21:39.897Z,1751389030.93,false,1751389030.93
